all like: 201233
all boo: 32174
like #1: sulin209 2694
like #2: kai6366 1982
like #3: lovegogi 1116
like #4: Krishna 887
like #5: htc10 887
like #6: lck0 764
like #7: starryice 733
like #8: bbflisky 650
like #9: William0703 586
like #10: yoyonigo 506
boo #1: OCG5566 696
boo #2: htc10 632
boo #3: NeGe56 286
boo #4: BradleyBeal 222
boo #5: bh0925 214
boo #6: zxnstu3104 149
boo #7: yoyonigo 146
boo #8: yuigood 142
boo #9: jay3u7218 130
boo #10: dontkissme 126
