"San Francisco,",United States,North America,5,4,5,2,5,4,4,4,4,5,4,4,5,3.95,4,3,5,4,5,5,3,5,299
Edinburgh,United Kingdom,Europe,4,3,5,2,5,4,4,3,4,4,4,4,4,3.34,4,3,5,5,5,5,2,4,60
Montreal,Canada,North America,5,3,5,3,4,5,5,4,4,4,5,4,4,4.06,4,4,5,4,4,5,3,4,77
Madrid,Spain,Europe,5,3,5,3,3,4,4,5,4,4,5,4,4,3.78,3,4,5,5,4,5,3,4,160
Cancun,Mexico,Latin America,4,4,5,4,3,3,4,3,4,5,3,4,4,4.3,3,1,5,3,4,5,5,5,36
Wellington,New Zealand,Oceania,3,3,5,3,5,5,5,4,4,3,5,4,4,3.6,3,4,5,5,4,5,2,5,40
Melbourne,Australia,Oceania,5,5,5,2,5,5,5,4,4,5,4,4,4,2.07,3,4,5,5,4,5,3,1,115
Auckland,New Zealand,Oceania,3,5,5,2,5,5,5,4,4,3,5,4,3,3.38,3,4,5,5,5,5,3,4,72
Sydney,Australia,Oceania,5,3,5,1,5,5,5,4,4,3,5,4,2,4.04,4,4,5,5,5,5,4,5,130
"Las Vegas, NV",United States,North America,5,4,5,2,5,4,4,4,4,5,4,4,5,4.19,3,3,5,4,5,5,4,5,84
"Tampa, FL",United States,North America,5,3,5,3,5,4,4,4,4,4,4,4,4,3.71,3,3,5,4,5,5,5,4,14
Brisbane,Australia,Oceania,3,5,5,1,5,5,5,4,4,2,4,4,3,1.42,3,4,5,5,4,5,4,1,43
"Ubud, Bali",Indonesia,Asia,3,3,2,4,3,3,3,3,3,4,4,4,2,3.75,4,1,4,4,3,5,5,3,272
Ko Tao,Thailand,Asia,3,3,5,4,2,2,4,1,4,3,4,4,2,2.63,1,1,2,3,4,3,4,2,33
"Los Angeles, C",United States,North America,5,4,5,2,5,4,4,4,4,4,4,4,4,4.25,5,3,5,4,5,5,4,4,196
Havana,Cuba,Latin America,3,3,4,4,3,3,0,4,1,5,3,4,4,1.19,3,1,5,4,3,1,4,0,45
"Boston, MA",United States,North America,5,3,5,2,5,4,4,4,4,4,4,4,3,3.25,4,3,5,4,5,5,2,4,69
Chiang Mai,Thailand,Asia,3,3,4,4,3,2,4,1,4,4,3,4,3,4.86,4,1,2,4,3,5,4,4,440
Budapest,Hungary,Europe,3,3,5,3,3,4,3,3,5,4,2,4,4,4.98,5,3,5,4,4,5,5,3,223
Oslo,Norway,Europe,3,3,5,2,4,5,5,5,4,4,4,4,3,2.88,3,5,5,5,4,2,3,3,60
Riga,Latvia,Europe,3,3,5,3,3,4,3,2,4,3,3,4,3,3.72,3,4,5,4,4,5,3,5,29
Tallinn,Estonia,Europe,3,3,5,3,5,4,3,3,4,4,4,4,4,3.62,4,4,5,4,5,5,3,5,73
Helsinki,Finland,Europe,3,3,5,2,4,5,5,4,4,4,5,4,4,3.52,4,5,5,4,4,5,3,5,59
